Time dependent ,,,,,,,Time Independent,,,,,,
Year,February Average Temperature (Northeast),February Average Temperature (Midwest),February Average Temperature (Pennsylvania),March Average Temperature (Northeast),March Average Temperature (Midwest),March Average Temperature (Pennsylvania),Country,Population,Area (sq. mi.),Coastline (coast/area ratio),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%)
1947,20.5,25.7,21.7,29.7,34.8,30.3,Fiji ,905949,18270,"6,18","12,62",5800,"93,7"
1948,19.7,32.9,25.6,32.7,43.4,38.3,Finland ,5231372,338145,"0,37","3,57",27400,"100,0"
1949,28,36.3,32.9,33.5,42,36.8,France ,60876136,547030,"0,63","4,26",27600,"99,0"
1950,21.6,34.7,27.4,27.3,38.7,30.8,French Guiana ,199509,91000,"0,42","12,07",8300,"83,0"
1951,26,33.6,28.9,33.4,40.4,36.1,French Polynesia ,274578,4167,"60,60","8,44",17500,"98,0"
1952,26.4,37.5,30.6,32,40.6,34.6,Gabon ,1424906,267667,"0,33","53,64",5500,"63,2"
1953,28,37.4,31.8,34.8,44.5,37.9,"Gambia, The ",1641564,11300,"0,71","72,02",1700,"40,1"
1954,30,41.1,33.6,32.2,40.2,35,Gaza Strip ,1428757,360,"11,11","22,93",600,
1955,24.2,33.4,27.3,32.3,43.1,37.2,Georgia ,4661473,69700,"0,44","18,59",2500,"99,0"
1956,25.6,36.1,29.8,27.9,42.1,32.9,Germany ,82422299,357021,"0,67","4,16",27600,"99,0"
1957,27.3,38.6,31.4,33.6,41.5,36.1,Ghana ,22409572,239460,"0,23","51,43",2200,"74,8"
1958,17.9,24.5,20.4,33.3,37.3,33.7,Gibraltar ,27928,7,"171,43","5,13",17500,
1959,20.6,33.7,27,30.6,41.4,34.1,Greece ,10688058,131940,"10,37","5,53",20000,"97,5"
1960,26.9,29.8,28.6,24.2,28.5,24.5,Greenland ,56361,2166086,"2,04","15,82",20000,
1961,24.6,37.3,28.9,32.6,45.1,37.1,Grenada ,89703,344,"35,17","14,62",5000,"98,0"
1962,19.8,34.8,25.4,32.7,38.6,34.2,Guadeloupe ,452776,1780,"17,19","8,6",8000,"90,0"
1963,16.2,26.3,18.4,33.1,46,37.5,Guam ,171019,541,"23,20","6,94",21000,"99,0"
1964,21.6,30.9,23.6,33.6,41.4,36.9,Guatemala ,12293545,108890,"0,37","35,93",4100,"70,6"
1965,22.1,31.8,26.2,30.2,35.1,32.1,Guernsey ,65409,78,"64,10","4,71",20000,
1966,23.2,31.9,26.5,34.1,44.1,37.5,Guinea ,9690222,245857,"0,13","90,37",2100,"35,9"
1967,18.2,29.1,22.6,29.1,45.6,34.4,Guinea-Bissau ,1442029,36120,"0,97","107,17",800,"42,4"
1968,18.4,27.3,22.3,34.8,43.8,38.4,Guyana ,767245,214970,"0,21","33,26",4000,"98,8"
1969,23.7,33,26.7,30.1,36.2,32.7,Haiti ,8308504,27750,"6,38","73,45",1600,"52,9"
1970,22.5,31.3,25.3,29.8,38.9,31.6,Honduras ,7326496,112090,"0,73","29,32",2600,"76,2"
1971,23.9,31.8,27.5,29.9,38.9,32.5,Hong Kong ,6940432,1092,"67,12","2,97",28800,"93,5"
1972,20.1,31.5,23.2,29.3,41.9,33.1,Hungary ,9981334,93030,"0,00","8,57",13900,"99,4"
1973,21.8,32.7,25.5,39.2,49.6,42.9,Iceland ,299388,103000,"4,83","3,31",30900,"99,9"
1974,21.7,34.5,26.2,32.5,46.3,36.9,India ,1095351995,3287590,"0,21","56,29",2900,"59,5"
1975,24.7,33.5,28.8,30.4,38.6,33.7,Indonesia ,245452739,1919440,"2,85","35,6",3200,"87,9"
1976,28.8,41.1,33.5,35.2,47.9,40.8,Iran ,68688433,1648000,"0,15","41,58",7000,"79,4"
1977,23.2,31.5,26.1,38.4,47.4,41.2,Iraq ,26783383,437072,"0,01","50,25",1500,"40,4"
1978,15.6,20.3,17.2,28.8,37.3,31.9,Ireland ,4062235,70280,"2,06","5,39",29600,"98,0"
1979,13.9,22.9,16.4,37,43.7,39.4,Isle of Man ,75441,572,"27,97","5,93",21000,
1980,20,26.6,23,31,38.5,33.3,Israel ,6352117,20770,"1,31","7,03",19800,"95,4"
1981,30.3,34.1,30.7,33,41.7,34.1,Italy ,58133509,301230,"2,52","5,94",26700,"98,6"
1982,22.9,30.4,26.9,31.5,43.5,34.9,Jamaica ,2758124,10991,"9,30","12,36",3900,"87,9"
1983,26.2,35.9,29.8,35.7,43.5,38.7,Japan ,127463611,377835,"7,87","3,26",28200,"99,0"
